# theta	rot	rot+v2dm
-1.570796327	-23.4579555	-24.79256252
-1.5393804	-23.44448586	-24.79039602
-1.507964474	-23.43370169	-24.78562011
-1.476548547	-23.42573774	-24.77838781
-1.445132621	-23.42071578	-24.76885369
-1.413716694	-23.41874276	-24.75714409
-1.382300768	-23.41990899	-24.74339256
-1.350884841	-23.42428649	-24.72773509
-1.319468915	-23.4319275	-24.71031423
-1.288052988	-23.44286315	-24.69132301
-1.256637061	-23.4571024	-24.67092952
-1.225221135	-23.4746312	-24.64934708
-1.193805208	-23.49541181	-24.62687439
-1.162389282	-23.51938253	-24.60378804
-1.130973355	-23.54645758	-24.58057305
-1.099557429	-23.57652732	-24.55788634
-1.068141502	-23.60945871	-24.53665408
-1.036725576	-23.64509606	-24.51812183
-1.005309649	-23.68326209	-24.51066867
-0.9738937226	-23.72375913	-24.510971
-0.9424777961	-23.76637073	-24.51126221
-0.9110618695	-23.81086335	-24.51155587
-0.879645943	-23.85698833	-24.51182739
-0.8482300165	-23.90448402	-24.51207122
-0.8168140899	-23.95307807	-24.51227981
-0.7853981634	-24.00248985	-24.51246122
-0.7539822369	-24.05243294	-24.51257442
-0.7225663103	-24.10261774	-24.51265185
-0.6911503838	-24.15275402	-24.51267715
-0.6597344573	-24.20255357	-24.51264665
-0.6283185307	-24.25173271	-24.5125609
-0.5969026042	-24.30001484	-24.51241927
-0.5654866776	-24.34713278	-24.51221083
-0.5340707511	-24.39283108	-24.51196304
-0.5026548246	-24.43686809	-24.51445551
-0.471238898	-24.47901789	-24.53242978
-0.4398229715	-24.51907202	-24.5551625
-0.408407045	-24.55684093	-24.5812868
-0.3769911184	-24.59215527	-24.60884976
-0.3455751919	-24.62486684	-24.63631303
-0.3141592654	-24.65484934	-24.66266813
-0.2827433388	-24.68199881	-24.68728051
-0.2513274123	-24.70623382	-24.70971227
-0.2199114858	-24.72749538	-24.72969022
-0.1884955592	-24.7457466	-24.74705024
-0.1570796327	-24.76097209	-24.76169306
-0.1256637061	-24.77317713	-24.7735538
-0.09424777961	-24.78238663	-24.7825599
-0.06283185307	-24.78864386	-24.78870827
-0.03141592654	-24.79200902	-24.79202704
1.387778781e-16	-24.79255769	-24.79256252
0.03141592654	-24.79037911	-24.79039602
0.06283185307	-24.78557438	-24.78562011
0.09424777961	-24.77825464	-24.77838781
0.1256637061	-24.76853912	-24.76885369
0.1570796327	-24.7565533	-24.75714409
0.1884955592	-24.74242701	-24.74339256
0.2199114858	-24.72629262	-24.72773509
0.2513274123	-24.7082833	-24.71031423
0.2827433388	-24.68853143	-24.69132301
0.3141592654	-24.66716709	-24.67092952
0.3455751919	-24.64431671	-24.64934708
0.3769911184	-24.62010194	-24.62687439
0.408407045	-24.59463863	-24.60378804
0.4398229715	-24.56803612	-24.58057305
0.471238898	-24.54039659	-24.55788634
0.5026548246	-24.51181475	-24.53665408
0.5340707511	-24.48237769	-24.51812183
0.5654866776	-24.45216494	-24.51066867
0.5969026042	-24.42124869	-24.510971
0.6283185307	-24.38969434	-24.51126221
0.6597344573	-24.35756102	-24.51155587
0.6911503838	-24.3249025	-24.51182739
0.7225663103	-24.29176805	-24.51207122
0.7539822369	-24.25820352	-24.51227981
0.7853981634	-24.22425253	-24.51246122
0.8168140899	-24.18995766	-24.51257442
0.8482300165	-24.15536175	-24.51265185
0.879645943	-24.12050917	-24.51267715
0.9110618695	-24.0854471	-24.51264665
0.9424777961	-24.0502268	-24.5125609
0.9738937226	-24.01490473	-24.51241927
1.005309649	-23.97954368	-24.51221083
1.036725576	-23.94421369	-24.51196304
1.068141502	-23.9089929	-24.51445551
1.099557429	-23.87396819	-24.53242978
1.130973355	-23.83923565	-24.5551625
1.162389282	-23.8049009	-24.5812868
1.193805208	-23.77107914	-24.60884976
1.225221135	-23.73789503	-24.63631303
1.256637061	-23.70548232	-24.66266813
1.288052988	-23.6739833	-24.68728051
1.319468915	-23.64354799	-24.70971227
1.350884841	-23.61433317	-24.72969022
1.382300768	-23.58650115	-24.74705024
1.413716694	-23.56021842	-24.76169306
1.445132621	-23.53565406	-24.7735538
1.476548547	-23.5129781	-24.7825599
1.507964474	-23.49235964	-24.78870827
1.5393804	-23.47396496	-24.79202704
1.570796327	-23.4579555	-24.79256252
