# theta	rot	rot+v2dm
-1.570796327	-7.969436998	-24.79256252
-1.5393804	-8.006745726	-24.77797478
-1.507964474	-8.08097853	-24.73417687
-1.476548547	-8.191662893	-24.66121625
-1.445132621	-8.338139986	-24.55926181
-1.413716694	-8.51957077	-24.42861862
-1.382300768	-8.734943424	-24.269782
-1.350884841	-8.983082002	-24.08354485
-1.319468915	-9.262656214	-23.87146501
-1.288052988	-9.572192212	-23.6380738
-1.256637061	-9.910084251	-23.42580999
-1.225221135	-10.27460708	-23.38878344
-1.193805208	-10.66392894	-23.38441541
-1.162389282	-11.07612498	-23.38280439
-1.130973355	-11.50919098	-23.38197064
-1.099557429	-11.96105722	-23.38146725
-1.068141502	-12.42960234	-23.38113601
-1.036725576	-12.91266702	-23.38090437
-1.005309649	-13.40806743	-23.38074265
-0.9738937226	-13.9136082	-23.38062339
-0.9424777961	-14.42709485	-23.38053681
-0.9110618695	-14.94634565	-23.38047569
-0.879645943	-15.46920264	-23.38043505
-0.8482300165	-15.99354186	-23.38040846
-0.8168140899	-16.51728271	-23.38040253
-0.7853981634	-17.03839631	-23.38040814
-0.7539822369	-17.55491295	-23.3804274
-0.7225663103	-18.06492842	-23.38046283
-0.6911503838	-18.56660949	-23.38051182
-0.6597344573	-19.05819825	-23.38057845
-0.6283185307	-19.53801561	-23.38066782
-0.5969026042	-20.00446372	-23.38078288
-0.5654866776	-20.4560277	-23.38093167
-0.5340707511	-20.89127644	-23.38112924
-0.5026548246	-21.3088627	-23.38139876
-0.471238898	-21.70752261	-23.38176898
-0.4398229715	-22.08607458	-23.38231099
-0.408407045	-22.44341781	-23.38316708
-0.3769911184	-22.77853039	-23.38472443
-0.3455751919	-23.09046726	-23.38863201
-0.3141592654	-23.37835794	-23.42904816
-0.2827433388	-23.64140433	-23.65496705
-0.2513274123	-23.87887847	-23.88496721
-0.2199114858	-24.09012057	-24.09302267
-0.1884955592	-24.2745372	-24.27586638
-0.1570796327	-24.43159989	-24.43216266
-0.1256637061	-24.56084402	-24.56105409
-0.09424777961	-24.66186825	-24.66193739
-0.06283185307	-24.73433434	-24.73435625
-0.03141592654	-24.77796758	-24.7779762
1.387778781e-16	-24.79255769	-24.79256252
0.03141592654	-24.77796021	-24.77797478
0.06283185307	-24.73409849	-24.73417687
0.09424777961	-24.66096607	-24.66121625
0.1256637061	-24.55862957	-24.55926181
0.1570796327	-24.42723189	-24.42861862
0.1884955592	-24.26699582	-24.269782
0.2199114858	-24.07822775	-24.08354485
0.2513274123	-23.86132167	-23.87146501
0.2827433388	-23.61676312	-23.6380738
0.3141592654	-23.3451331	-23.42580999
0.3455751919	-23.04711187	-23.38878344
0.3769911184	-22.72348243	-23.38441541
0.408407045	-22.37513362	-23.38280439
0.4398229715	-22.00306275	-23.38197064
0.471238898	-21.6083776	-23.38146725
0.5026548246	-21.19229776	-23.38113601
0.5340707511	-20.75615514	-23.38090437
0.5654866776	-20.30139357	-23.38074265
0.5969026042	-19.82956755	-23.38062339
0.6283185307	-19.34233983	-23.38053681
0.6597344573	-18.84147803	-23.38047569
0.6911503838	-18.32885011	-23.38043505
0.7225663103	-17.8064187	-23.38040846
0.7539822369	-17.27623432	-23.38040253
0.7853981634	-16.74042747	-23.38040814
0.8168140899	-16.20119959	-23.3804274
0.8482300165	-15.66081303	-23.38046283
0.879645943	-15.12158002	-23.38051182
0.9110618695	-14.58585066	-23.38057845
0.9424777961	-14.0560002	-23.38066782
0.9738937226	-13.53441551	-23.38078288
1.005309649	-13.02348102	-23.38093167
1.036725576	-12.52556415	-23.38112924
1.068141502	-12.04300044	-23.38139876
1.099557429	-11.57807851	-23.38176898
1.130973355	-11.13302493	-23.38231099
1.162389282	-10.70998929	-23.38316708
1.193805208	-10.31102948	-23.38472443
1.225221135	-9.938097488	-23.38863201
1.256637061	-9.593025711	-23.42904816
1.288052988	-9.277514043	-23.65496705
1.319468915	-8.993117842	-23.88496721
1.350884841	-8.741236895	-24.09302267
1.382300768	-8.523105518	-24.27586638
1.413716694	-8.339783898	-24.43216266
1.445132621	-8.192150766	-24.56105409
1.476548547	-8.080897478	-24.66193739
1.507964474	-8.006523575	-24.73435625
1.5393804	-7.969333857	-24.7779762
1.570796327	-7.969436998	-24.79256252
