# theta	rot	rot+v2dm
-1.570796327	-24.74520296	-24.79256252
-1.5393804	-24.74318979	-24.79420994
-1.507964474	-24.74128238	-24.79581426
-1.476548547	-24.73949059	-24.7973804
-1.445132621	-24.73782368	-24.79890433
-1.413716694	-24.73629031	-24.80036339
-1.382300768	-24.73489845	-24.80173929
-1.350884841	-24.7336553	-24.80301751
-1.319468915	-24.73256727	-24.80418675
-1.288052988	-24.73163989	-24.8052386
-1.256637061	-24.73087782	-24.80616691
-1.225221135	-24.73028475	-24.80696731
-1.193805208	-24.72986344	-24.80763674
-1.162389282	-24.72961566	-24.80817314
-1.130973355	-24.72954221	-24.80857523
-1.099557429	-24.72964287	-24.80884227
-1.068141502	-24.72991649	-24.80897404
-1.036725576	-24.73036091	-24.80897083
-1.005309649	-24.73097309	-24.80883357
-0.9738937226	-24.73174904	-24.8085642
-0.9424777961	-24.73268393	-24.80816618
-0.9110618695	-24.73377211	-24.80764443
-0.879645943	-24.73500718	-24.80700372
-0.8482300165	-24.73638202	-24.80624758
-0.8168140899	-24.73788888	-24.80537908
-0.7853981634	-24.73951943	-24.80440255
-0.7539822369	-24.74126485	-24.80332354
-0.7225663103	-24.74311588	-24.80213815
-0.6911503838	-24.74506291	-24.80087879
-0.6597344573	-24.74709605	-24.79955663
-0.6283185307	-24.74920519	-24.79816014
-0.5969026042	-24.75138011	-24.79671363
-0.5654866776	-24.75361049	-24.79522885
-0.5340707511	-24.75588604	-24.79371604
-0.5026548246	-24.75819654	-24.79218439
-0.471238898	-24.76053189	-24.79065264
-0.4398229715	-24.76288216	-24.78914613
-0.408407045	-24.76523767	-24.78770203
-0.3769911184	-24.76758902	-24.78635864
-0.3455751919	-24.76992711	-24.78516129
-0.3141592654	-24.77224321	-24.78417231
-0.2827433388	-24.77452894	-24.78347593
-0.2513274123	-24.77677635	-24.78313283
-0.2199114858	-24.77897788	-24.78316741
-0.1884955592	-24.78112639	-24.78381259
-0.1570796327	-24.78321519	-24.78483496
-0.1256637061	-24.78523797	-24.78618143
-0.09424777961	-24.78718888	-24.78768505
-0.06283185307	-24.78906245	-24.78926812
-0.03141592654	-24.79085362	-24.79090377
1.387778781e-16	-24.79255769	-24.79256252
0.03141592654	-24.79417033	-24.79420994
0.06283185307	-24.79568755	-24.79581426
0.09424777961	-24.79710566	-24.7973804
0.1256637061	-24.79842128	-24.79890433
0.1570796327	-24.79963129	-24.80036339
0.1884955592	-24.80073283	-24.80173929
0.2199114858	-24.80172326	-24.80301751
0.2513274123	-24.80260017	-24.80418675
0.2827433388	-24.80336136	-24.8052386
0.3141592654	-24.80400479	-24.80616691
0.3455751919	-24.80452863	-24.80696731
0.3769911184	-24.80493122	-24.80763674
0.408407045	-24.80521109	-24.80817314
0.4398229715	-24.80536694	-24.80857523
0.471238898	-24.80539766	-24.80884227
0.5026548246	-24.80530236	-24.80897404
0.5340707511	-24.80508036	-24.80897083
0.5654866776	-24.80473123	-24.80883357
0.5969026042	-24.80425478	-24.8085642
0.6283185307	-24.80365112	-24.80816618
0.6597344573	-24.80292068	-24.80764443
0.6911503838	-24.80206423	-24.80700372
0.7225663103	-24.80108291	-24.80624758
0.7539822369	-24.79997826	-24.80537908
0.7853981634	-24.79875227	-24.80440255
0.8168140899	-24.79740738	-24.80332354
0.8482300165	-24.79594653	-24.80213815
0.879645943	-24.79437318	-24.80087879
0.9110618695	-24.79269134	-24.79955663
0.9424777961	-24.79090555	-24.79816014
0.9738937226	-24.78902097	-24.79671363
1.005309649	-24.7870433	-24.79522885
1.036725576	-24.78497886	-24.79371604
1.068141502	-24.78283455	-24.79218439
1.099557429	-24.78061785	-24.79065264
1.130973355	-24.77833681	-24.78914613
1.162389282	-24.77600001	-24.78770203
1.193805208	-24.77361657	-24.78635864
1.225221135	-24.7711961	-24.78516129
1.256637061	-24.76874861	-24.78417231
1.288052988	-24.76628456	-24.78347593
1.319468915	-24.76381472	-24.78313283
1.350884841	-24.76135015	-24.78316741
1.382300768	-24.75890214	-24.78381259
1.413716694	-24.75648211	-24.78483496
1.445132621	-24.75410158	-24.78618143
1.476548547	-24.75177206	-24.78768505
1.507964474	-24.74950497	-24.78926812
1.5393804	-24.74731159	-24.79090377
1.570796327	-24.74520296	-24.79256252
