# theta	rot	rot+v2dm
-1.570796327	-24.63880732	-24.79256252
-1.5393804	-24.63944939	-24.79220042
-1.507964474	-24.64042683	-24.79159387
-1.476548547	-24.64173375	-24.79078013
-1.445132621	-24.64336257	-24.78981026
-1.413716694	-24.64530412	-24.7887402
-1.382300768	-24.6475477	-24.78762379
-1.350884841	-24.65008117	-24.78650735
-1.319468915	-24.65289108	-24.78545283
-1.288052988	-24.65596275	-24.78452018
-1.256637061	-24.65928036	-24.78371443
-1.225221135	-24.66282714	-24.78301987
-1.193805208	-24.66658544	-24.78242341
-1.162389282	-24.67053686	-24.78192467
-1.130973355	-24.6746624	-24.7815051
-1.099557429	-24.67894259	-24.78115743
-1.068141502	-24.68335759	-24.78087101
-1.036725576	-24.68788733	-24.78064116
-1.005309649	-24.69251166	-24.78046074
-0.9738937226	-24.6972104	-24.78032484
-0.9424777961	-24.70196351	-24.78022938
-0.9110618695	-24.70675117	-24.78017116
-0.879645943	-24.71155386	-24.78014303
-0.8482300165	-24.71635249	-24.78015047
-0.8168140899	-24.72112842	-24.78018967
-0.7853981634	-24.72586357	-24.7802584
-0.7539822369	-24.73054048	-24.78036164
-0.7225663103	-24.73514234	-24.78049393
-0.6911503838	-24.73965302	-24.78066375
-0.6597344573	-24.74405714	-24.78086159
-0.6283185307	-24.74834006	-24.78109473
-0.5969026042	-24.75248793	-24.78136579
-0.5654866776	-24.75648764	-24.78167913
-0.5340707511	-24.76032687	-24.78203944
-0.5026548246	-24.76399408	-24.78244707
-0.471238898	-24.76747845	-24.78291278
-0.4398229715	-24.77076993	-24.78343398
-0.408407045	-24.7738592	-24.78401954
-0.3769911184	-24.7767376	-24.78467459
-0.3455751919	-24.7793972	-24.78540323
-0.3141592654	-24.78183068	-24.78620911
-0.2827433388	-24.7840314	-24.78709111
-0.2513274123	-24.7859933	-24.78802441
-0.2199114858	-24.78771093	-24.78896731
-0.1884955592	-24.78917942	-24.78988483
-0.1570796327	-24.79039449	-24.79074228
-0.1256637061	-24.7913524	-24.79149533
-0.09424777961	-24.79204999	-24.79209591
-0.06283185307	-24.79248466	-24.79249598
-0.03141592654	-24.79265437	-24.79265948
1.387778781e-16	-24.79255769	-24.79256252
0.03141592654	-24.79219379	-24.79220042
0.06283185307	-24.79156245	-24.79159387
0.09424777961	-24.79066412	-24.79078013
0.1256637061	-24.78949994	-24.78981026
0.1570796327	-24.78807174	-24.7887402
0.1884955592	-24.78638213	-24.78762379
0.2199114858	-24.78443451	-24.78650735
0.2513274123	-24.78223309	-24.78545283
0.2827433388	-24.77978297	-24.78452018
0.3141592654	-24.77709014	-24.78371443
0.3455751919	-24.77416153	-24.78301987
0.3769911184	-24.77100505	-24.78242341
0.408407045	-24.7676296	-24.78192467
0.4398229715	-24.7640451	-24.7815051
0.471238898	-24.76026248	-24.78115743
0.5026548246	-24.75629374	-24.78087101
0.5340707511	-24.75215191	-24.78064116
0.5654866776	-24.74785103	-24.78046074
0.5969026042	-24.74340616	-24.78032484
0.6283185307	-24.73883336	-24.78022938
0.6597344573	-24.73414959	-24.78017116
0.6911503838	-24.72937273	-24.78014303
0.7225663103	-24.72452148	-24.78015047
0.7539822369	-24.71961529	-24.78018967
0.7853981634	-24.7146743	-24.7802584
0.8168140899	-24.70971922	-24.78036164
0.8482300165	-24.70477126	-24.78049393
0.879645943	-24.69985199	-24.78066375
0.9110618695	-24.69498323	-24.78086159
0.9424777961	-24.69018696	-24.78109473
0.9738937226	-24.68548512	-24.78136579
1.005309649	-24.68089956	-24.78167913
1.036725576	-24.67645183	-24.78203944
1.068141502	-24.67216309	-24.78244707
1.099557429	-24.66805394	-24.78291278
1.130973355	-24.66414427	-24.78343398
1.162389282	-24.66045319	-24.78401954
1.193805208	-24.65699882	-24.78467459
1.225221135	-24.65379819	-24.78540323
1.256637061	-24.65086713	-24.78620911
1.288052988	-24.64822015	-24.78709111
1.319468915	-24.64587034	-24.78802441
1.350884841	-24.64382927	-24.78896731
1.382300768	-24.6421069	-24.78988483
1.413716694	-24.64071152	-24.79074228
1.445132621	-24.63964972	-24.79149533
1.476548547	-24.6389263	-24.79209591
1.507964474	-24.63854426	-24.79249598
1.5393804	-24.63850481	-24.79265948
1.570796327	-24.63880732	-24.79256252
