# theta	rot	rot+v2dm
-1.570796327	-23.13560975	-24.79256252
-1.5393804	-23.13930569	-24.78970575
-1.507964474	-23.14524541	-24.7826062
-1.476548547	-23.15341257	-24.77131398
-1.445132621	-23.16379391	-24.75591372
-1.413716694	-23.176379	-24.73651223
-1.382300768	-23.19115978	-24.71321748
-1.350884841	-23.20812996	-24.68617034
-1.319468915	-23.22728421	-24.65553871
-1.288052988	-23.24861724	-24.62150635
-1.256637061	-23.27212266	-24.58429597
-1.225221135	-23.2977918	-24.54413044
-1.193805208	-23.32561246	-24.50124654
-1.162389282	-23.35556747	-24.45591385
-1.130973355	-23.38763338	-24.4084038
-1.099557429	-23.421779	-24.35902118
-1.068141502	-23.45796405	-24.30805543
-1.036725576	-23.49613782	-24.25579701
-1.005309649	-23.5362379	-24.20257565
-0.9738937226	-23.57818908	-24.14875885
-0.9424777961	-23.62190229	-24.09477967
-0.9110618695	-23.66727376	-24.04116751
-0.879645943	-23.71418436	-23.98908634
-0.8482300165	-23.76249912	-23.94326889
-0.8168140899	-23.81206694	-23.94919063
-0.7853981634	-23.86272062	-23.97128842
-0.7539822369	-23.91427703	-24.00088359
-0.7225663103	-23.96653755	-24.03598546
-0.6911503838	-24.01928885	-24.07529678
-0.6597344573	-24.07230377	-24.11743798
-0.6283185307	-24.12534254	-24.16147251
-0.5969026042	-24.17815424	-24.2068887
-0.5654866776	-24.2304784	-24.25313357
-0.5340707511	-24.28204686	-24.2999272
-0.5026548246	-24.33258583	-24.34675946
-0.471238898	-24.38181804	-24.39299558
-0.4398229715	-24.42946508	-24.43798242
-0.408407045	-24.47524984	-24.48144499
-0.3769911184	-24.51889898	-24.52323641
-0.3455751919	-24.56014547	-24.56319792
-0.3141592654	-24.59873117	-24.60098615
-0.2827433388	-24.63440933	-24.63616339
-0.2513274123	-24.66694704	-24.668292
-0.2199114858	-24.69612765	-24.69712752
-0.1884955592	-24.72175295	-24.7224553
-0.1570796327	-24.74364531	-24.74411191
-0.1256637061	-24.7616496	-24.76193799
-0.09424777961	-24.77563481	-24.77579428
-0.06283185307	-24.78549561	-24.78556576
-0.03141592654	-24.79115348	-24.7911732
1.387778781e-16	-24.79255769	-24.79256252
0.03141592654	-24.78968592	-24.78970575
0.06283185307	-24.78254464	-24.7826062
0.09424777961	-24.77116914	-24.77131398
0.1256637061	-24.75562326	-24.75591372
0.1570796327	-24.73599891	-24.73651223
0.1884955592	-24.71241514	-24.71321748
0.2199114858	-24.68501707	-24.68617034
0.2513274123	-24.65397448	-24.65553871
0.2827433388	-24.61948017	-24.62150635
0.3141592654	-24.58174807	-24.58429597
0.3455751919	-24.54101122	-24.54413044
0.3769911184	-24.49751945	-24.50124654
0.408407045	-24.45153706	-24.45591385
0.4398229715	-24.40334027	-24.4084038
0.471238898	-24.35321467	-24.35902118
0.5026548246	-24.30145254	-24.30805543
0.5340707511	-24.24835026	-24.25579701
0.5654866776	-24.19420567	-24.20257565
0.5969026042	-24.13931547	-24.14875885
0.6283185307	-24.08397279	-24.09477967
0.6597344573	-24.02846479	-24.04116751
0.6911503838	-23.97307046	-23.98908634
0.7225663103	-23.91805859	-23.94326889
0.7539822369	-23.86368586	-23.94919063
0.7853981634	-23.81019528	-23.97128842
0.8168140899	-23.7578147	-24.00088359
0.8482300165	-23.70675574	-24.03598546
0.879645943	-23.65721279	-24.07529678
0.9110618695	-23.6093624	-24.11743798
0.9424777961	-23.56336289	-24.16147251
0.9738937226	-23.51935419	-24.2068887
1.005309649	-23.47745792	-24.25313357
1.036725576	-23.43777779	-24.2999272
1.068141502	-23.4004001	-24.34675946
1.099557429	-23.36539457	-24.39299558
1.130973355	-23.33281524	-24.43798242
1.162389282	-23.30270159	-24.48144499
1.193805208	-23.27507984	-24.52323641
1.225221135	-23.24996422	-24.56319792
1.256637061	-23.2273585	-24.60098615
1.288052988	-23.20725742	-24.63616339
1.319468915	-23.18964822	-24.668292
1.350884841	-23.17451212	-24.69712752
1.382300768	-23.16182584	-24.7224553
1.413716694	-23.15156295	-24.74411191
1.445132621	-23.1436952	-24.76193799
1.476548547	-23.13819371	-24.77579428
1.507964474	-23.13503003	-24.78556576
1.5393804	-23.13417705	-24.7911732
1.570796327	-23.13560975	-24.79256252
